id,26e24f77-06d2-4408-966a-3a3c06064ac6
input currency,EUR
quantity,1.000000

snapshot,2023-03-01
start,2023-03-01
end,2040-03-01
output currency,USD
unit,ABSOLUTE

Date,Amount,Type
2024-09-12T00:00:00Z,0.097583,FLOATING_COUPON
2025-09-12T00:00:00Z,0.091036,FLOATING_COUPON
2025-09-12T00:00:00Z,0.018388,SINK
2026-09-12T00:00:00Z,0.085816,FLOATING_COUPON
2026-09-14T00:00:00Z,0.018388,SINK
2027-09-12T00:00:00Z,0.082851,FLOATING_COUPON
2027-09-13T00:00:00Z,0.018388,SINK
2028-09-11T00:00:00Z,0.081080,FLOATING_COUPON
2028-09-11T00:00:00Z,1.011336,PRINCIPAL
