id,7eeb39da-fb50-4f6c-814f-59701e975113
input currency,GBP
quantity,1.000000

snapshot,2023-03-01
start,2023-03-01
end,2040-03-01
output currency,USD
unit,ABSOLUTE

Date,Amount,Type
2023-03-15T00:00:00Z,0.070771,SINK
2024-03-15T00:00:00Z,0.070771,SINK
2025-03-15T00:00:00Z,0.070771,SINK
2026-03-15T00:00:00Z,0.070771,SINK
2027-03-15T00:00:00Z,0.070771,SINK
2028-03-15T00:00:00Z,0.070771,SINK
2029-03-15T00:00:00Z,0.070771,SINK
2030-03-15T00:00:00Z,0.070771,SINK
2031-03-15T00:00:00Z,0.070771,SINK
2032-03-15T00:00:00Z,0.070771,SINK
2033-03-15T00:00:00Z,0.070771,SINK
2034-03-15T00:00:00Z,0.070771,SINK
2035-03-15T00:00:00Z,0.070771,SINK
2036-03-15T00:00:00Z,0.070771,SINK
2037-03-15T00:00:00Z,0.070771,SINK
2038-03-15T00:00:00Z,0.070771,PRINCIPAL
